College Name|College ID|USN|Stundet Name|10th Percentage|12th Percentage|College CGPA|Course|Coding Test Time|Coding Test Score
Lauren Jones|LAUR|LAUR03004|Christopher Hart|95.2|98.5|7.7|CSE|07 Nov 2022 17:01:14+0800|14
Pamela Harris|PAME|PAME03005|Bonnie Rodriguez|78.5|96.1 %|9.9|CSE-ML|20 Jun 2022 14:51:01+0000|1
Alexis Dean|ALEX|ALEX03006|Austin Barrett|86.3|95.1 Perc|9.7|CSE|03 Jan 2023 10:09:20+0000|5
Mr. Joshua Summers DDS|MR. |MR. 03007|Chad Donovan|83.7|85.1|9.6|CSE-ML|18 Oct 2022 16:46:24+0800|1
Andrew Murphy|ANDR|ANDR03008|Victoria Tanner|90.6|77.9 %|8.8|CSE|26 May 2023 02:08:53+0800|2
Alexis Dean|ALEX|ALEX03009|Christopher Oneill|80.5|79.1 Perc|8.2|MECH|10 Aug 2022 08:29:00+0530|0
Mitchell Scott|MITC|MITC03010|Cody Robertson|93.7|84.6|7.9|CSE-AI|09 Apr 2023 11:00:33-0400|13
Timothy Rodriguez|TIMO|TIMO03011|Jeffrey Woods|97.5|99.3 %|7.8|CSE-AI|16 Aug 2022 23:41:09+0000|8
Christopher Mcneil|CHRI|CHRI03012|Jessica Edwards|88.1|90.4|7.5|CSE|17 Dec 2022 07:04:17-0300|7
Michael Green|MICH|MICH03013|Scott Miller|91.5|87.1|7.9|CSE-AI|03 Aug 2022 19:45:59+0530|7
Andrew Diaz|ANDR|ANDR03014|Kelly Ryan PhD|77.7|85.8 Perc|9.7|CSE-AI|03 Aug 2022 19:45:59+0530|10
Pamela Harris|PAME|PAME03015|Joan Simmons|95.4|99.1|8.3|CSE|20 Apr 2023 06:39:50+0000|9
Laura Sawyer|LAUR|LAUR03016|Ryan Chapman|79.1|98.5|7.7|CSE-AI|31 Jan 2023 04:34:59-0300|14
Mr. Joshua Summers DDS|MR. |MR. 03017|Angela Nichols|82.5|99.5 %|9.4|CSE-ML|10 Aug 2022 08:29:00+0530|4
Traci Maynard|TRAC|TRAC03018|Michael Rhodes|92.0|97.6|9.0|CSE-ML|25 Sep 2022 14:25:37+0800|2
Traci Maynard|TRAC|TRAC03019|Aaron Rosales|93.4|82.0 %|9.4|MECH|01 Dec 2022 14:07:06+0800|14
Brandon Barker|BRAN|BRAN03020|Craig Smith DDS|83.0|96.1 %|9.0|MECH|21 Jun 2022 10:21:23+0800|11
Lauren Jones|LAUR|LAUR03021|Edward Thompson|90.7|95.5 Perc|8.2|CSE-ML|12 May 2023 15:36:08+0530|11
Pamela Harris|PAME|PAME03022|Maria Cain|96.2|96.6 %|8.1|MECH|19 Oct 2022 13:19:32+0530|14
Pamela Harris|PAME|PAME03023|Gary Diaz|99.4|87.4 %|7.5|CSE-AI|15 Dec 2022 20:38:32+0800|6
Cheryl Adams|CHER|CHER03024|Kelly Coleman|87.4|79.0 Perc|9.3|CSE|18 Aug 2022 11:37:51+0000|4
Laura Sawyer|LAUR|LAUR03025|Matthew Rivera|77.9|91.8 Perc|9.3|MECH|12 May 2023 15:36:08+0530|1
Raymond Russell|RAYM|RAYM03026|Brandi Harris|93.6|85.1|8.4|CSE-ML|07 Apr 2023 09:36:37+0530|2
Erik Herrera|ERIK|ERIK03027|Jennifer Conner|78.4|96.4|9.8|MECH|17 Sep 2022 13:13:09-0300|3
Alexis Dean|ALEX|ALEX03028|Scott Buchanan|96.7|92.5 %|9.0|CSE-AI|30 Mar 2023 13:55:12+0800|9
Erik Herrera|ERIK|ERIK03029|Cheryl Moyer|88.8|94.4 %|8.7|MECH|25 Sep 2022 11:41:41+0800|5
Pamela Harris|PAME|PAME03030|Rebecca Cook|96.2|84.8|7.6|MECH|23 Oct 2022 11:58:46-0300|10
Mitchell Scott|MITC|MITC03031|Erin Craig|84.3|83.4 %|9.9|MECH|25 Jul 2022 12:05:30-0400|9
Alexis Dean|ALEX|ALEX03032|Bradley Austin|94.3|78.7 Perc|8.2|MECH|24 Mar 2023 11:23:08+0800|10
Lauren Jones|LAUR|LAUR03033|Sean Wilkerson|76.4|78.9 %|9.2|CSE-AI|04 May 2023 19:50:54-0400|2
Christopher Mcneil|CHRI|CHRI03034|Kevin Stokes|87.2|96.1|9.0|CSE|22 Mar 2023 04:40:20-0300|9
Mr. Joshua Summers DDS|MR. |MR. 03035|Andrew Burch MD|75.2|94.5 %|8.1|CSE-AI|01 Nov 2022 20:54:09+0530|0
Laura Sawyer|LAUR|LAUR03036|Michelle Morton|76.6|94.3|9.2|CSE-ML|16 Nov 2022 06:23:21+0530|1
Erik Herrera|ERIK|ERIK03037|Patricia Meza|97.4|88.5|9.7|MECH|03 Nov 2022 12:12:29+0530|11
Michelle Pineda|MICH|MICH03038|Matthew Ross|96.3|89.2 Perc|8.5|MECH|09 Apr 2023 11:00:33-0400|4
Christopher Mcneil|CHRI|CHRI03039|Rebecca Alexander MD|75.1|76.9 %|7.5|CSE-ML|31 Oct 2022 16:03:27-0300|7
Ryan Gonzalez|RYAN|RYAN03040|Heather Davis|91.2|98.2 %|8.6|CSE-ML|26 Dec 2022 12:11:34-0300|2
Ryan Gonzalez|RYAN|RYAN03041|Casey Thompson|88.8|79.7 %|8.0|CSE|25 Sep 2022 11:41:41+0800|14
Andrew Murphy|ANDR|ANDR03042|Christopher Campbell|84.8|97.5 %|8.9|MECH|17 Dec 2022 01:38:57+0800|2
Andrew Murphy|ANDR|ANDR03043|Tonya Cobb|90.0|87.0|9.6|MECH|26 Feb 2023 07:47:48-0300|6
Cheryl Adams|CHER|CHER03044|Wendy Sanchez|98.3|82.6 %|8.1|CSE|15 Jan 2023 12:47:40-0300|9
Alexis Dean|ALEX|ALEX03045|Carrie Bautista|80.2|91.5|9.7|CSE-AI|10 Aug 2022 20:50:48+0000|2
Pamela Harris|PAME|PAME03046|Todd Aguirre|99.7|90.3 Perc|8.5|CSE-AI|28 Nov 2022 03:52:57-0300|12
Cheryl Adams|CHER|CHER03047|Amy Petersen|80.9|81.0 %|9.9|CSE-AI|01 Dec 2022 05:27:07-0300|3
Michael Green|MICH|MICH03048|Lisa Campbell|94.8|78.2 %|8.0|MECH|29 Jul 2022 15:46:24-0400|8
Andrew Diaz|ANDR|ANDR03049|Dr. Lori Hughes MD|93.1|94.6 %|8.0|MECH|21 Mar 2023 21:34:57+0000|2
Ryan Gonzalez|RYAN|RYAN03050|Russell Marshall|81.5|86.1 %|8.4|MECH|20 May 2023 11:53:43+0800|7
Andrew Murphy|ANDR|ANDR03051|Brandon Ortiz|88.5|79.6|7.8|CSE-ML|12 Jan 2023 06:47:28+0800|10
Mitchell Scott|MITC|MITC03052|Samuel Gilmore|75.6|77.2 %|9.3|MECH|23 Oct 2022 18:19:24-0300|10
Erik Herrera|ERIK|ERIK03053|Rachel Rodriguez|83.2|79.9|8.2|CSE-AI|17 Dec 2022 07:04:17-0300|9
William Webster|WILL|WILL03054|Tom Perez|94.8|97.9 %|9.2|CSE|11 Mar 2023 22:54:54+0800|7
Timothy Rodriguez|TIMO|TIMO03055|Daniel Cherry|91.4|77.5 %|7.7|MECH|27 Oct 2022 23:43:24-0300|3
Raymond Russell|RAYM|RAYM03056|John Brown|94.5|80.6|8.9|CSE-AI|28 Dec 2022 06:30:05-0300|4
Christopher Mcneil|CHRI|CHRI03057|Paul Williams|80.7|90.0 Perc|7.9|MECH|07 Apr 2023 09:36:37+0530|2
Erik Herrera|ERIK|ERIK03058|Christopher Watkins|82.5|78.7|9.7|CSE-ML|04 Oct 2022 08:47:25+0000|8
Michael Green|MICH|MICH03059|Patricia Jarvis|92.5|95.0|9.0|CSE-ML|06 Apr 2023 05:28:36-0400|13
Laura Sawyer|LAUR|LAUR03060|Jack Humphrey|90.3|98.4 %|8.3|CSE-ML|28 Mar 2023 03:57:14+0000|7
Erik Herrera|ERIK|ERIK03061|Jamie Harris|83.2|76.5|9.6|CSE-AI|05 Jan 2023 21:39:09+0800|14
Mitchell Scott|MITC|MITC03062|Austin Walsh|83.0|82.1 Perc|9.8|CSE|05 Feb 2023 21:59:42+0000|1
Michael Green|MICH|MICH03063|Mr. Jeffrey Clarke|91.6|75.3 Perc|7.8|CSE|31 Mar 2023 06:25:23+0800|9
Michael Green|MICH|MICH03064|Anthony Gibson|94.6|97.8|8.0|CSE|24 Sep 2022 07:54:06+0800|13
Michelle Pineda|MICH|MICH03065|Yolanda Smith|99.8|92.8 %|9.1|CSE-AI|02 Aug 2022 17:17:56+0800|6
Traci Maynard|TRAC|TRAC03066|Jeffrey Davis|95.9|81.8|8.4|MECH|17 Feb 2023 06:58:07+0000|1
Raymond Russell|RAYM|RAYM03067|Calvin Rivera|95.6|85.9 Perc|8.2|MECH|04 Mar 2023 21:54:51+0800|13
Erik Herrera|ERIK|ERIK03068|Tracie Arias|85.1|88.3|9.2|CSE-ML|18 Mar 2023 23:39:11+0800|12
Brandon Barker|BRAN|BRAN03069|Ryan Bowen|82.6|88.0 Perc|8.9|MECH|17 Sep 2022 13:13:09-0300|2
Andrew Diaz|ANDR|ANDR03070|Blake Bautista|97.2|81.0 Perc|9.7|MECH|01 Nov 2022 06:50:01+0530|14
Laura Sawyer|LAUR|LAUR03071|Kathleen Williams|91.6|75.7 %|7.5|MECH|04 Jan 2023 01:38:29+0800|3
Christopher Mcneil|CHRI|CHRI03072|April Marquez|87.6|82.5|9.8|CSE|17 Mar 2023 21:01:38+0800|3
Traci Maynard|TRAC|TRAC03073|Brittany Woodard|76.9|79.0|8.1|MECH|19 May 2023 10:29:49+0000|13
Cheryl Adams|CHER|CHER03074|Sherry Rice|88.2|94.5 %|9.1|MECH|17 Jan 2023 02:42:02+0530|10
Erik Herrera|ERIK|ERIK03075|Evan Hernandez|77.6|94.4 %|7.7|CSE-AI|30 Mar 2023 13:55:12+0800|12
Mr. Joshua Summers DDS|MR. |MR. 03076|Patrick Williams|79.3|86.0 Perc|7.8|CSE-AI|04 Jun 2023 11:17:22+0530|0
William Webster|WILL|WILL03077|Juan Bright|90.0|77.0 %|8.2|CSE-ML|08 Feb 2023 19:21:46+0000|14
Christopher Mcneil|CHRI|CHRI03078|Yolanda Wood|79.3|91.8 %|7.5|MECH|25 Apr 2023 21:54:33+0800|8
Christopher Mcneil|CHRI|CHRI03079|Donald Ramos|99.2|75.4 Perc|7.6|CSE-ML|16 Oct 2022 15:43:47+0000|7
Erik Herrera|ERIK|ERIK03080|Lisa Kelly|81.5|88.9 Perc|9.9|CSE-ML|06 Jan 2023 14:40:10+0000|12
Andrew Diaz|ANDR|ANDR03081|Leslie Smith|97.0|78.1 Perc|8.7|CSE-ML|26 Feb 2023 07:47:48-0300|13
Andrew Diaz|ANDR|ANDR03082|Amanda Lopez|98.3|83.0 Perc|7.8|CSE|29 Dec 2022 19:12:23+0000|0
Timothy Rodriguez|TIMO|TIMO03083|Michael Mckenzie|76.2|75.1 Perc|9.8|MECH|20 Jan 2023 21:08:38-0300|5
Joseph Horton|JOSE|JOSE03084|Mrs. Bridget Salinas|90.6|88.2 Perc|9.1|CSE-ML|05 Jul 2022 21:03:50+0000|2
Traci Maynard|TRAC|TRAC03085|Brandon Schaefer|83.3|81.0 %|9.6|CSE-ML|15 Jun 2022 16:54:02+0000|5
Lauren Jones|LAUR|LAUR03086|Derek Turner|98.6|99.6 Perc|9.2|CSE|19 Jan 2023 07:04:49+0530|0
Traci Maynard|TRAC|TRAC03087|James Le|82.2|93.9 Perc|7.8|CSE-AI|17 Jan 2023 16:01:32+0530|4
William Webster|WILL|WILL03088|Darius Rose|85.9|96.7 Perc|7.6|CSE-AI|23 Sep 2022 10:40:47+0530|2
Laura Sawyer|LAUR|LAUR03089|Andrea Holmes|85.5|79.2 Perc|8.9|MECH|21 Apr 2023 20:28:46+0800|2
Erik Herrera|ERIK|ERIK03090|Jamie Fischer|86.3|76.3 Perc|7.7|CSE|01 Nov 2022 13:41:51-0300|7
Erik Herrera|ERIK|ERIK03091|Joshua Pratt|92.9|82.9 Perc|8.9|MECH|06 Feb 2023 15:32:45+0530|5
Mr. Joshua Summers DDS|MR. |MR. 03092|Ryan Manning|80.0|80.3 Perc|8.5|MECH|17 Dec 2022 01:38:57+0800|1
Lauren Jones|LAUR|LAUR03093|Ashley Miller|89.4|96.4 %|8.3|CSE|12 Sep 2022 04:42:11+0000|12
Alexis Dean|ALEX|ALEX03094|Steven Robinson|88.3|95.0 %|7.6|CSE-ML|17 Jan 2023 00:58:03+0800|3
Andrew Murphy|ANDR|ANDR03095|Amanda Anderson|95.1|79.7|9.1|CSE|01 Sep 2022 09:01:17+0530|10
Andrew Murphy|ANDR|ANDR03096|Judy Contreras|94.5|99.4 Perc|7.9|CSE-ML|13 Apr 2023 01:33:42-0400|11
Ryan Gonzalez|RYAN|RYAN03097|Mark Bennett|99.5|89.0 %|8.4|MECH|15 Sep 2022 23:03:12+0000|9
Brandon Barker|BRAN|BRAN03098|Michael Thomas|79.9|94.1 %|7.6|MECH|19 Jul 2022 16:10:04+0530|1
William Webster|WILL|WILL03099|Allen Ponce|93.3|98.5 %|9.8|CSE|30 Sep 2022 03:21:36+0530|10
Pamela Harris|PAME|PAME03100|Teresa Malone|88.6|78.3 %|8.8|MECH|20 Sep 2022 08:03:30-0300|8
Alexis Dean|ALEX|ALEX03101|Christy Melton|92.2|80.9 %|7.5|CSE|08 Oct 2022 09:46:37+0800|12
Lauren Jones|LAUR|LAUR03102|Denise Robertson|77.7|88.5|9.9|MECH|19 Jun 2022 00:34:47+0530|4
Cheryl Adams|CHER|CHER03103|Julie Bell|78.2|86.3 %|7.6|CSE-ML|06 Jul 2022 12:27:15-0400|3
Cheryl Adams|CHER|CHER03104|Scott Hull|90.9|80.3|8.3|MECH|06 Mar 2023 05:31:35+0800|12
Brandon Barker|BRAN|BRAN03105|Heather Carter|80.0|97.6 %|8.6|CSE-ML|11 Aug 2022 20:59:48-0400|9
Joseph Horton|JOSE|JOSE03106|Angela Welch|92.4|94.1|7.7|MECH|27 Feb 2023 10:41:44+0800|13
Andrew Murphy|ANDR|ANDR03107|Christopher Gallagher PhD|81.0|85.5 Perc|9.6|CSE-ML|02 Oct 2022 05:55:46+0000|2
Brandon Barker|BRAN|BRAN03108|Jill King MD|92.9|85.4|9.3|CSE-ML|09 Sep 2022 01:50:10+0000|4
Erik Herrera|ERIK|ERIK03109|Bradley Glover|75.0|85.4 Perc|7.5|CSE|03 Mar 2023 19:20:34+0800|0
Christopher Mcneil|CHRI|CHRI03110|Teresa Flores|84.0|99.4|8.3|CSE-ML|10 Sep 2022 09:51:51-0400|3
Christopher Mcneil|CHRI|CHRI03111|Jo Dickerson|91.1|79.6 %|9.6|CSE-AI|02 Dec 2022 19:29:05+0000|7
Andrew Diaz|ANDR|ANDR03112|Chris Nichols|83.5|85.2 Perc|7.9|MECH|25 Sep 2022 14:25:37+0800|8
Mitchell Scott|MITC|MITC03113|Daniel Jones|77.2|85.5 Perc|8.8|MECH|09 Apr 2023 06:28:42+0000|6
Traci Maynard|TRAC|TRAC03114|Leslie Wang|93.0|97.3|9.4|CSE-ML|21 Apr 2023 20:28:46+0800|1
Cheryl Adams|CHER|CHER03115|Wendy Hall|98.7|90.5|9.8|CSE-ML|28 Jan 2023 00:05:14+0800|13
Lauren Jones|LAUR|LAUR03116|Victoria Goodwin|78.9|78.7 Perc|9.8|MECH|30 Mar 2023 13:55:12+0800|8
Pamela Harris|PAME|PAME03117|Dr. Ashley Case|94.1|88.7 %|7.6|MECH|18 Oct 2022 11:58:54-0300|8
Alexis Dean|ALEX|ALEX03118|Tara House|78.1|98.6|8.9|CSE-AI|21 Nov 2022 08:30:46+0800|6
Brandon Barker|BRAN|BRAN03119|Leslie Smith|97.9|75.7 %|7.5|CSE-AI|25 Feb 2023 10:55:11-0300|14
Michelle Pineda|MICH|MICH03120|Andrea Fuller|90.2|92.2 %|7.8|CSE-AI|24 Mar 2023 11:23:08+0800|12
Alexis Dean|ALEX|ALEX03121|Destiny Lee|96.5|78.1 Perc|9.3|MECH|11 Sep 2022 08:38:12+0530|7
Joseph Horton|JOSE|JOSE03122|Julie Snow|80.3|89.8 %|8.7|CSE-AI|23 May 2023 00:35:57+0000|6
Alexis Dean|ALEX|ALEX03123|James Herrera|97.5|96.1 %|9.6|CSE-AI|20 Jul 2022 07:42:36+0000|1
Ryan Gonzalez|RYAN|RYAN03124|Jacqueline Hughes|99.1|99.1 Perc|7.8|MECH|09 Apr 2023 22:29:24-0400|0
Michael Green|MICH|MICH03125|Joseph Osborne|89.3|96.8 %|9.3|CSE-AI|24 Aug 2022 13:35:29-0400|14
William Webster|WILL|WILL03126|Nathan Villanueva|87.8|81.2 %|7.5|CSE|24 Feb 2023 23:29:49+0800|9
Traci Maynard|TRAC|TRAC03127|Jessica Thornton|89.6|86.0|9.3|CSE|05 Sep 2022 02:15:57+0800|9
Timothy Rodriguez|TIMO|TIMO03128|Alexander Brown|80.2|83.2 Perc|9.2|CSE-ML|18 Aug 2022 11:37:51+0000|0
Traci Maynard|TRAC|TRAC03129|Audrey Moore|84.1|76.3 Perc|9.8|MECH|21 Jun 2022 07:16:18-0400|8
Mr. Joshua Summers DDS|MR. |MR. 03130|Todd Keith|95.9|85.6|8.2|CSE|22 May 2023 10:53:25+0530|2
Brandon Barker|BRAN|BRAN03131|Kayla Bean|81.0|92.2|9.8|CSE|23 May 2023 15:25:53+0530|10
Raymond Russell|RAYM|RAYM03132|Robert Caldwell|87.5|93.7 Perc|8.6|MECH|15 Feb 2023 03:52:02+0000|7
Mitchell Scott|MITC|MITC03133|Patricia Kelley|91.0|83.7 %|7.6|CSE|17 Aug 2022 20:44:12-0400|14
Pamela Harris|PAME|PAME03134|Rachael Snyder|98.7|80.4 Perc|7.9|CSE-AI|31 Dec 2022 11:18:07-0300|2
Traci Maynard|TRAC|TRAC03135|Anne Hoffman|90.3|77.1|7.8|MECH|12 Dec 2022 05:23:16+0000|6
Erik Herrera|ERIK|ERIK03136|Heather Newman|85.5|79.2 Perc|7.9|CSE-ML|17 Jul 2022 08:56:21-0400|9
Mitchell Scott|MITC|MITC03137|Sally Jacobs|89.8|82.2 Perc|9.2|CSE-ML|13 Dec 2022 15:20:06-0300|11
Michelle Pineda|MICH|MICH03138|Tracy Stewart|91.9|97.0|9.5|CSE|10 Jul 2022 00:44:14+0800|6
Pamela Harris|PAME|PAME03139|Jennifer Kerr|82.5|88.4 Perc|8.7|CSE-AI|21 Apr 2023 20:28:46+0800|13
Mitchell Scott|MITC|MITC03140|Elizabeth Chambers|79.3|85.4|8.2|MECH|23 Dec 2022 04:31:03-0300|0
Andrew Murphy|ANDR|ANDR03141|Shannon Alvarez|82.9|77.1 Perc|8.9|CSE|21 Aug 2022 19:50:37+0800|0
Raymond Russell|RAYM|RAYM03142|Sheila Bishop|94.9|90.8 Perc|9.0|MECH|24 Oct 2022 22:04:44+0000|6
Traci Maynard|TRAC|TRAC03143|Derek Smith|79.2|91.8 %|9.4|CSE|10 Aug 2022 18:38:17+0800|14
Christopher Mcneil|CHRI|CHRI03144|Anna Hart|85.8|99.1|9.1|CSE-ML|17 Jul 2022 16:42:22+0800|9
Brandon Barker|BRAN|BRAN03145|Kevin Curtis|93.5|80.4 %|9.4|MECH|13 Mar 2023 19:21:35+0530|2
Raymond Russell|RAYM|RAYM03146|Rodney Baker|76.8|80.0 %|9.0|MECH|29 May 2023 16:42:40+0800|6
Ryan Gonzalez|RYAN|RYAN03147|Allison Green|84.6|92.3 %|9.1|CSE-AI|09 Jan 2023 20:24:04-0300|4
Alexis Dean|ALEX|ALEX03148|John Lawrence|90.1|76.3|7.8|MECH|01 Sep 2022 09:01:17+0530|8
Laura Sawyer|LAUR|LAUR03149|Kayla Kelly|84.8|94.8|7.8|CSE-AI|17 Nov 2022 18:00:40-0300|2
Andrew Diaz|ANDR|ANDR03150|Kaitlyn Rodriguez|88.9|81.8 Perc|9.6|MECH|22 Apr 2023 15:02:30-0400|12
Erik Herrera|ERIK|ERIK03151|Maria Hamilton|86.6|86.4 Perc|9.2|MECH|08 Nov 2022 15:02:26+0530|5
Andrew Diaz|ANDR|ANDR03152|Jennifer Flores|77.9|79.5 Perc|9.7|MECH|29 Dec 2022 19:12:23+0000|0
Cheryl Adams|CHER|CHER03153|Michael Moses|83.9|94.2|9.0|CSE|26 Oct 2022 06:01:23+0530|10
Michael Green|MICH|MICH03154|Mrs. Ashley Casey|96.5|85.7 Perc|8.2|MECH|09 Aug 2022 01:41:44+0000|10
Alexis Dean|ALEX|ALEX03155|Frank Weber|85.1|83.8|9.9|MECH|25 Oct 2022 09:35:53+0530|10
Traci Maynard|TRAC|TRAC03156|Jennifer Martin|87.4|99.5|9.5|CSE|05 Jul 2022 06:09:19+0800|6
Ryan Gonzalez|RYAN|RYAN03157|Nicholas Phillips|96.1|89.4 Perc|7.7|CSE-AI|04 May 2023 19:50:54-0400|5
Joseph Horton|JOSE|JOSE03158|Shannon Kelly|83.9|99.2 Perc|7.6|MECH|29 Nov 2022 08:59:41-0300|3
Michael Green|MICH|MICH03159|Harry Jackson|81.3|86.9 %|9.5|CSE-ML|31 Oct 2022 16:03:27-0300|2
Laura Sawyer|LAUR|LAUR03160|Wayne Smith|80.5|88.9|7.6|CSE|13 Mar 2023 19:21:35+0530|6
Mr. Joshua Summers DDS|MR. |MR. 03161|James Pacheco|93.8|84.8 %|8.1|MECH|28 Jul 2022 03:18:43-0400|2
Pamela Harris|PAME|PAME03162|Kelli Francis|82.6|86.3 Perc|9.5|CSE|01 Nov 2022 06:50:01+0530|11
Michelle Pineda|MICH|MICH03163|Alyssa Roberson|87.8|98.4|9.5|CSE|03 Aug 2022 19:45:59+0530|7
Brandon Barker|BRAN|BRAN03164|Amanda Bird|84.4|90.9 Perc|8.7|CSE-AI|12 Dec 2022 16:10:36-0300|13
Mr. Joshua Summers DDS|MR. |MR. 03165|Deborah Ross|96.7|95.4|7.6|CSE-ML|23 Feb 2023 13:52:38+0800|13
Andrew Murphy|ANDR|ANDR03166|Kevin Parsons|91.6|83.2|8.5|CSE-AI|22 Jun 2022 18:02:06+0000|5
Brandon Barker|BRAN|BRAN03167|Judy Williams|99.7|83.7 Perc|7.9|CSE|15 Jan 2023 12:47:40-0300|6
Mr. Joshua Summers DDS|MR. |MR. 03168|Samantha Thomas|87.6|87.2 %|8.9|CSE|15 Jun 2022 16:54:02+0000|8
Christopher Mcneil|CHRI|CHRI03169|Timothy Johnson|91.5|82.1|9.4|CSE-AI|14 Feb 2023 14:26:31+0530|11
Michelle Pineda|MICH|MICH03170|Kimberly Alvarado|89.5|87.9 %|9.4|CSE|20 May 2023 03:06:25+0530|9
Andrew Murphy|ANDR|ANDR03171|Kimberly Richards|89.3|96.9 Perc|9.0|CSE|30 Oct 2022 02:17:19+0530|0
Michelle Pineda|MICH|MICH03172|Jay Webster MD|89.5|89.9 Perc|9.6|MECH|15 Jul 2022 22:11:45+0530|4
Alexis Dean|ALEX|ALEX03173|Samantha Gates|96.8|92.7 Perc|9.2|MECH|19 Oct 2022 13:19:32+0530|10
Pamela Harris|PAME|PAME03174|Anna Lloyd|83.7|82.0 Perc|9.0|CSE-AI|20 Mar 2023 21:25:44+0530|3
Cheryl Adams|CHER|CHER03175|Thomas Vasquez|95.9|99.8|8.3|MECH|04 Jun 2023 01:06:49-0400|1
Pamela Harris|PAME|PAME03176|Toni Curry|99.0|98.7|8.1|CSE-AI|03 Jan 2023 10:09:20+0000|13
Erik Herrera|ERIK|ERIK03177|Ashley Guerrero|86.6|82.3 %|8.2|CSE-ML|04 Oct 2022 08:47:25+0000|14
Andrew Diaz|ANDR|ANDR03178|Kayla Warren|80.4|78.2 Perc|8.9|MECH|17 Dec 2022 01:38:57+0800|11
Ryan Gonzalez|RYAN|RYAN03179|Lauren Rose|78.1|83.1 Perc|9.7|MECH|18 Mar 2023 20:52:04+0530|8
Timothy Rodriguez|TIMO|TIMO03180|Lauren Cook|86.7|93.2 Perc|9.6|MECH|01 Nov 2022 13:41:51-0300|8
Michelle Pineda|MICH|MICH03181|Gregory Campbell|88.2|82.2 Perc|8.2|CSE|04 Jun 2023 01:06:49-0400|5
Lauren Jones|LAUR|LAUR03182|Jennifer Perez|93.8|88.1 %|8.6|CSE|24 Nov 2022 07:44:17+0800|4
Mitchell Scott|MITC|MITC03183|David Ryan|94.5|98.1|9.0|MECH|23 Oct 2022 11:58:46-0300|9
Brandon Barker|BRAN|BRAN03184|Selena Brown|98.1|78.6 Perc|9.2|CSE-AI|14 Nov 2022 20:17:35+0000|14
Erik Herrera|ERIK|ERIK03185|Cindy Hill|93.4|81.2 %|8.8|CSE-AI|17 Jul 2022 16:42:22+0800|2
Mr. Joshua Summers DDS|MR. |MR. 03186|Jennifer Lowe|94.4|91.6|8.1|CSE-ML|09 Aug 2022 01:41:44+0000|11
Pamela Harris|PAME|PAME03187|Jesse Rich|81.7|75.9|9.8|CSE|14 Feb 2023 09:07:05-0300|0
Andrew Murphy|ANDR|ANDR03188|Gabriel Smith|80.0|87.7 Perc|9.8|CSE|01 Nov 2022 20:54:09+0530|0
Cheryl Adams|CHER|CHER03189|Peter Richardson|83.1|97.7|8.5|CSE-ML|03 Aug 2022 15:07:51+0800|6
Ryan Gonzalez|RYAN|RYAN03190|Jeffrey Rose|99.2|81.7 %|8.6|CSE|24 Aug 2022 00:20:48+0530|4
Laura Sawyer|LAUR|LAUR03191|Victoria Schroeder|93.5|87.5 %|9.4|CSE-ML|08 Oct 2022 09:29:57+0530|14
Brandon Barker|BRAN|BRAN03192|Pamela Warren|76.3|80.9 Perc|7.5|MECH|17 Jun 2022 22:54:05-0400|4
Michael Green|MICH|MICH03193|Taylor White|89.8|75.7 Perc|9.1|MECH|09 Aug 2022 01:41:44+0000|5
Mitchell Scott|MITC|MITC03194|James Hogan|88.4|75.2 Perc|7.6|CSE-AI|20 Jun 2022 14:51:01+0000|2
Lauren Jones|LAUR|LAUR03195|Heather Kelley|95.7|94.3 Perc|8.7|MECH|09 Apr 2023 06:28:42+0000|3
Traci Maynard|TRAC|TRAC03196|Andrea Jones|93.3|92.4|7.7|CSE-ML|07 Jul 2022 08:00:09-0400|0
Timothy Rodriguez|TIMO|TIMO03197|Aaron Day|93.8|78.2|7.5|CSE-ML|23 Feb 2023 13:52:38+0800|2
Alexis Dean|ALEX|ALEX03198|Samantha Garcia|97.5|87.0 Perc|9.4|MECH|25 Apr 2023 06:03:48+0800|0
Raymond Russell|RAYM|RAYM03199|Grant Anderson|76.6|99.4 Perc|8.0|CSE-AI|14 Jul 2022 01:51:09+0800|0
Traci Maynard|TRAC|TRAC03200|Patrick Warren|82.9|79.6 Perc|8.2|MECH|28 Apr 2023 23:27:52-0400|11
Mitchell Scott|MITC|MITC03201|Eric Wilcox|96.2|99.0 %|9.2|CSE|04 Jan 2023 01:38:29+0800|1
Alexis Dean|ALEX|ALEX03202|Jessica Patterson|88.3|78.5|8.7|MECH|16 Apr 2023 10:32:16+0000|13
Michelle Pineda|MICH|MICH03203|Madeline Williams|80.7|84.1 %|9.6|MECH|29 Nov 2022 08:59:41-0300|4
Pamela Harris|PAME|PAME03204|Richard Thomas|94.2|76.9 Perc|7.5|CSE-AI|12 May 2023 09:39:26-0400|5
Michelle Pineda|MICH|MICH03205|Adam Humphrey|97.1|84.3 %|9.2|MECH|08 Jul 2022 17:34:59+0530|3
Michelle Pineda|MICH|MICH03206|Jamie Sanders|95.5|80.0|9.1|CSE|21 Jun 2022 10:21:23+0800|8
Christopher Mcneil|CHRI|CHRI03207|Natasha Howard|79.5|76.3 %|8.8|MECH|04 Mar 2023 02:27:08+0530|6
Michael Green|MICH|MICH03208|Krista Taylor|94.1|96.9 %|7.5|MECH|30 Jan 2023 10:47:56+0530|4
